airtable_id,source,title,artist,status,purchase_price,currency,location,sale_price,ownership
rec049IjCVhKD1MJD,Stock,L'Essentiel,Elladj Lincy Deloumeaux,sold,500,EUR,,,100.0%
rec05NaFqNZO9cNpA,Stock,Stansstad,Arnold Odermatt,available,9630,EUR,LG NY,,100.0%
rec0BuYswdKOzjNGZ,Stock,"Statue Songyé, Congo",Art Afrique,in_transit,53340,EUR,14 T,,100.0%
rec0Yk85rm9mTrnjq,Stock,Study,John Kacere,participating,20000,USD,Gratin,,50.0%
rec0rCbuuAmLlHsNe,Stock,Untitled,Richard Prince,sold,115000,USD,,677500,100.0%
rec0tHMZhl85qtvcF,Stock,Best Part,Yoora Lee,consigned,4000,CHF,Sotheby's NY,,100.0%
rec15b0iTHLpwqyCv,Stock,Garden Tender,Rebecca Ackroyd,sold,24000,USD,,47250,100.0%
rec1OhGuQcIfgXRqT,Stock,Nuit des Langoustes,Loïc Raguénès,available,20000,EUR,14T,,100.0%
rec1PSX26C7rmss45,Stock,Untitled,Julian Schnabel,sold,4000000,USD,,160000,100.0%
rec1ayQEU990qlEVg,Stock,Brik on Brick,Martin Wong,sold,102500,USD,,47250,100.0%
rec1b93TyOyVy8ynk,Stock,Untitled,Anna Zemankova,sold,13200,USD,,31200,50.0%
rec1c7OcmxblGaEZI,Stock,Nascente (série tela-corpo),Sonia Gomes,consigned,150000,USD,Pace Gallery,,100.0%
rec1uW8Sq8a4gncYL,Stock,Self-portrait 1,Didier Viodé,available,5260,USD,CHI,,100.0%
rec1xcyUyohHbEeyp,Stock,Untitled (Flat),Alex Israel,sold,150000,USD,,65000,50.0%
rec254WH1ixc3bCvh,Stock,Gate Storm Drain,Cyperien Gaillard,available,47950,USD,Max,,100.0%
rec2NBRiJzMLv3xKN,Stock,Painting (4.24.11),Oliver Lee Jackson,participating,18451,USD,Blackboard,,25.0%
rec2ZDsM97kgLdZmK,Stock,"Statue Djenné, Delta intérieur du Niger, Mali",Art Afrique,available,189000,EUR,CHI,,100.0%
rec2ixNyLTF06YfdT,Stock,Laura 98,John Kacere,participating,42500,USD,Gratin,,25.0%
